fsid,ns_birthplace,parish_search,latitude,longitude,country_API,county_API
GCMH-VY2,åsele västerbottens län sweden,ÅSELE,64.1602339,17.3536149,Sweden,Västerbotten County
GCMH-XBW,norsjö västerbottens län sweden,NORSJÖ,64.9135093,19.4826413,Sweden,Västerbotten County
GCND-3Z5,kotaliden västerbotten sweden,Not identified,65.5037457,18.0622327,Sweden,Västerbotten County
GCNJ-S3R,grubbe umeå landsförsamling västerbotten sweden,UMEÅ LANDS,63.83162530000001,20.1678587,Sweden,Västerbottens län
GCPQ-WP7,bastusele degerfors västerbotten sweden,DEGEFORS,64.2,19.716667,Sweden,Västerbotten County
GCQ9-TLK,djäkneböle västerbotten sweden,Not identified,63.7729049,20.0496442,Sweden,Västerbotten County
GCQX-T2J,skansholm vilhelmina västerbotten suède sweden,VILHELMINA,64.68659,16.27955,Sweden,Västerbotten County
GCST-VGF,ansmark umeå landsförsamling västerbotten sverige,UMEÅ LANDS,63.83162530000001,20.1678587,Sweden,Västerbottens län
GCSX-C9K,bissjön västerbotten sweden,Not identified,64.421876,21.2086731,Sweden,Västerbotten County
GCV2-MVB,graffors bygdeå västerbotten sweden,BYGDEÅ,40.7614432,-73.97399410000001,United States,New York
GCVM-K5L,graninge västerbotten sverige,Not identified,63.0712679,16.9396816,Sweden,Västernorrland County
GCW1-3TK,knaften lycksele lf sverige,LYCKSELE,64.44774629999999,18.6357373,Sweden,Västerbottens län
GCWC-9YQ,vännäs umeå landsförs västerbotten sweden,VÄNNÄS,64.0590584,19.6520644,Sweden,Västerbottens län
GCWH-T2D,gransjöriset västerbotten sweden,Not identified,64.5008898,17.5473643,Sweden,Västerbotten County
GCXH-RS2,kroknäs sävar västerbotten sverige,SÄVAR,None,None,None,
GCXP-MJB,dalasjö västerbotten sverige,Not identified,64.5637019,16.8948073,Sweden,Västerbotten County
GCZC-BNR,rickleå bygdeå västerbotten sweden,BYGDEÅ,64.0590498,20.8544517,Sweden,Västerbotten County
GCZS-PPV,lajksjö dorotea västerbotten sweden,DOROTEA,64.2201716,16.5447455,Sweden,Västerbotten County
GCZT-TG8,hörnsjö västerbotten sverige,Not identified,63.80104999999999,19.52614,Sweden,Västerbotten County
GH1N-KRJ,sävsjön degerfors västerbotten sweden,DEGEFORS,None,None,None,
GH1Y-329,bahlfors bjurholm västernorrlands sveroge sweden,BJURHOLM,63.9250896,19.0507093,Sweden,Västerbotten County
GH1Y-DQK,degerfors umeå landsfösamling västerbotten sverige,UMEÅ LANDS,63.83162530000001,20.1678587,Sweden,Västerbottens län
GH24-29K,åträsk västerbotten sweden,Not identified,None,None,None,
GH28-QSX,nyby lycksele västerbotten sweden,LYCKSELE,64.3465659,18.477851,Sweden,Västerbotten County
GH2Z-JRL,umeå stadsförsamling västerbotten sverige,UMEÅ STADS,63.8248274,20.2752793,Sweden,Västerbottens län
GH3C-YHB,fråstkåge byske västerbotten sweden,BYSKE,None,None,None,
GH3S-ZX3,marsliden vilhelmina ästerbotten sweden,VILHELMINA,65.0274673,15.3754618,Sweden,Västerbotten County
GH3Y-VQB,bockträsk sorsele västerbottens län sweden,SORSELE,65.4339605,18.2261611,Sweden,Västerbotten County
GH41-SBF,norrbyskär hörnefors västerbotten sverige,HÖRNEFORS,63.55636,19.8749299,Sweden,Västerbotten County
GH46-2PN,tväråmark säfvar västerbotten sweden,Not identified,63.90081300000001,20.5519791,Sweden,Västerbotten County
GH46-DRN,hörnefors västerbotten sverige,HÖRNEFORS,63.6235916,19.9083586,Sweden,Västerbotten County
GH48-YKV,hössjö västerbotten sverige,Not identified,63.78633720000001,19.8625022,Sweden,Västerbotten County
GH4K-XCJ,kvarnbyn burträsk västerbotten sweden,BURTRÄSK,64.4529474,20.4806065,Sweden,Västerbotten County
GH56-Y5S,gumboda nysätra västerbotten sverige,NYSÄTRA (AC-län),None,None,None,
GH5H-B3Y,röbäck umeå landsförsamling västerbotten sweden,UMEÅ LANDS,63.83162530000001,20.1678587,Sweden,Västerbottens län
GH68-458,holmön västerbotten sverige,HOLMÖN,63.80035909999999,20.8654204,Sweden,Västerbotten County
GH73-3HY,kraddsele västerbotten sverige,Not identified,65.8546997,16.5300606,Sweden,Västerbotten County
GH73-BJ5,norra latikberg västerbotten sweden,Not identified,64.6440187,17.0506792,Sweden,Västerbotten County
GH73-T9D,estersmark bygdeå västerbotten sverige,BYGDEÅ,None,None,None,
GH75-SYV,bergås västerbotten sweden,Not identified,64.4608949,18.6355478,Sweden,Västerbottens län
GH7F-XYC,luspen västerbotten sweden,Not identified,65.266667,16.05,Sweden,Västerbotten County
GH7H-6GT,eriksberg västerbotten sweden,Not identified,65.03496609999999,15.9014924,Sweden,Västerbotten County
GH7H-P2R,boviken skellefteå landsförsamling västerbotten sweden,SKELLEFTEÅ,None,None,None,
GH7J-163,sappetsavan sorsele västerbotten sweden,SORSELE,65.2755209,17.7876257,Sweden,Västerbotten County
GH7Q-CW7,dikanäs västerbotten sweden,Not identified,65.2317462,16.000807,Sweden,Västerbotten County
GH7X-JQC,sappetavan sorsele västerbotten sweden,SORSELE,65.2755209,17.7876257,Sweden,Västerbotten County
GH84-1LT,hacksjö vilhelmina västerbotten sweden,VILHELMINA,64.55144539999999,17.381477,Sweden,Västerbotten County
GH86-M3Q,henriksfjäll västerbotten sweden,Not identified,65.266667,15.5833329,Sweden,Västerbotten County
GH8N-1LJ,rickleå västerbotten sverige,Not identified,64.11666699999999,20.9,Sweden,Västerbotten County
GH9D-C1T,umeå lands sweden,UMEÅ LANDS,63.8258471,20.2630354,Sweden,Västerbotten County
GH9T-CGZ,brånan malå västerbottens län sweden,MALÅ,None,None,None,
GHB3-C92,skellefteå landsförsamling västerbotten sweden,SKELLEFTEÅ,64.7517451,20.918945,Sweden,Västerbottens län
GHB6-9N5,prästbordet resele sweden,Not identified,63.32972110000001,17.0757235,Sweden,Västernorrlands län
GHB6-HYD,gargnäs sorsele västerbotten sverige,SORSELE,65.3117995,17.9642562,Sweden,Västerbotten County
GHBJ-81T,fjälltuna dorotea västerbotten sverige,DOROTEA,64.415851,16.4184399,Sweden,Västerbottens län
GHBJ-K22,umeå stads fs västerbotten sweden,UMEÅ STADS,63.8236111,20.2680556,Sweden,Västerbottens län
GHBS-5HK,krångfors västerbotten sweden,Not identified,64.7535628,20.4737733,Sweden,Västerbotten County
GHC2-2ZK,järvsjön västerbotten sweden,Not identified,64.61666699999999,17.2333329,Sweden,Västerbotten County
GHC4-RDP,teg sweden,Not identified,63.816667,20.2666669,Sweden,Västerbotten County
GHC5-JSH,malå västerbotten sverige,MALÅ,65.18512,18.74907,Sweden,Västerbotten County
GHC9-CY4,åsele sweden,ÅSELE,64.1602339,17.3536149,Sweden,Västerbotten County
GHC9-DM7,vilhelmina västerbottens lappland sweden,VILHELMINA,64.624471,16.655497,Sweden,Västerbotten County
GHCL-LQL,vikennäs västerbotten sweden,Not identified,65.0667722,16.3560377,Sweden,Västerbottens län
GHD4-F96,tväråmark västerbotten sverige,Not identified,63.916667,20.4666671,Sweden,Västerbotten County
GHD4-QQ4,kroksjö västerbotten sverige,Not identified,64.5097098,17.985531,Sweden,Västerbotten County
GHDH-6SW,ledusjö nordmaling västerbotten sweden,NORDMALING,63.6314436,19.4215922,Sweden,Västerbotten County
GHDS-V9G,granön degerfors västerbotten sweden,DEGEFORS,None,None,None,
GHF2-M8G,rödingträsk lycksele ac sweden,LYCKSELE,64.4617753,18.4969858,Sweden,Västerbotten County
GHF5-SK2,källheden västerbotten sverige,Not identified,64.70175739999999,20.1977462,Sweden,Västerbotten County
GHFF-2XN,skellefteå sweden,SKELLEFTEÅ,64.750244,20.950917,Sweden,Västerbotten County
GHFF-64P,skellefteå sankt olov sweden,SKELLEFTEÅ,64.750007,20.9635762,Sweden,Västerbottens län
GHFF-C5Q,bastuträsk stensele fs sweden,STENSELE,64.7904348,20.0422617,Sweden,Västerbotten County
GHFH-F1Q,gård 56 umeå ac sweden,UMEÅ LANDS,63.8258471,20.2630354,Sweden,Västerbotten County
GHFH-KKB,missenträsk skellefteå västerbotten sverige,SKELLEFTEÅ,65.2222448,19.7154518,Sweden,Västerbotten County
GHFH-LTW,gumboda norsjö sverige,NORSJÖ,64.9503999,19.9270866,Sweden,Västerbotten County
GHFH-YCT,rusele lycksele lappland sverige,LYCKSELE,64.77445209999999,18.2480535,Sweden,Västerbottens län
GHFK-FRD,hornmyr lycksele västerbottens län sweden,LYCKSELE,64.39867,18.41168,Sweden,Västerbotten County
GHFL-8DT,teg umeå västerbotten sweden,UMEÅ LANDS,None,None,None,
GHFN-55F,östanbäck skellefteå västerbotten sverige,SKELLEFTEÅ,64.8754309,21.0894099,Sweden,Västerbotten County
GHFN-C2J,arksjö västerbotten sweden,Not identified,64.35459879999999,16.137253,Sweden,Västerbotten County
GHFN-J7Q,skarvsjöby stensele ac sweden,STENSELE,65.0649864,17.1598298,Sweden,Västerbotten County
